date,hits,words,shows,shows_with_hits,density_per_1000
2025-02-05,0,92890,20,0,0.000000
2025-02-06,0,96310,20,0,0.000000
2025-02-07,2,86025,20,1,0.023249
2025-02-08,0,94443,23,0,0.000000
2025-02-09,2,88928,22,1,0.022490
2025-02-10,3,97055,19,2,0.030910
2025-02-11,0,91361,20,0,0.000000
2025-02-12,0,94709,20,0,0.000000
2025-02-13,3,88639,20,2,0.033845
2025-02-14,0,94914,20,0,0.000000
2025-02-15,0,94938,23,0,0.000000
2025-02-16,0,89969,22,0,0.000000
2025-02-17,0,91427,20,0,0.000000
2025-02-18,0,92184,20,0,0.000000
2025-02-19,0,95431,20,0,0.000000
2025-02-20,0,93785,20,0,0.000000
2025-02-21,0,91383,20,0,0.000000
2025-02-22,0,91720,23,0,0.000000
2025-02-23,0,85597,22,0,0.000000
2025-02-24,0,92129,20,0,0.000000
2025-02-25,0,83475,20,0,0.000000
2025-02-26,0,91652,20,0,0.000000
2025-02-27,0,88211,20,0,0.000000
2025-02-28,0,94029,20,0,0.000000
2025-03-01,0,97631,23,0,0.000000
2025-03-02,0,90041,23,0,0.000000
2025-03-03,0,103429,20,0,0.000000
2025-03-04,0,96648,20,0,0.000000
2025-03-05,0,86014,14,0,0.000000
2025-03-06,0,91989,20,0,0.000000
2025-03-07,0,84848,20,0,0.000000
2025-03-08,0,91770,22,0,0.000000
2025-03-09,0,88489,22,0,0.000000
2025-03-10,0,85983,20,0,0.000000
2025-03-11,0,87456,20,0,0.000000
2025-03-12,0,90087,20,0,0.000000
2025-03-13,0,82924,20,0,0.000000
2025-03-14,0,91274,20,0,0.000000
2025-03-15,0,89010,22,0,0.000000
2025-03-16,0,84032,22,0,0.000000
2025-03-17,0,90184,20,0,0.000000
2025-03-18,0,93474,20,0,0.000000
2025-03-19,0,93301,20,0,0.000000
2025-03-20,0,95492,20,0,0.000000
2025-03-21,0,92513,20,0,0.000000
2025-03-22,0,88417,22,0,0.000000
2025-03-23,1,79903,22,1,0.012515
2025-03-24,1,94141,20,1,0.010622
2025-03-25,1,86516,20,1,0.011559
2025-03-26,0,93667,20,0,0.000000
2025-03-27,1,92210,20,1,0.010845
2025-03-28,0,77879,20,0,0.000000
2025-03-29,0,86370,22,0,0.000000
2025-03-30,0,85513,22,0,0.000000
2025-03-31,2,86095,20,1,0.023230
2025-04-01,0,91418,20,0,0.000000
2025-04-02,0,93415,20,0,0.000000
2025-04-03,0,99013,20,0,0.000000
2025-04-04,0,94961,20,0,0.000000
2025-04-05,0,98807,22,0,0.000000
2025-04-06,0,94186,22,0,0.000000
2025-04-07,0,91267,20,0,0.000000
2025-04-08,0,98792,20,0,0.000000
2025-04-09,0,91560,20,0,0.000000
2025-04-10,0,96125,20,0,0.000000
2025-04-11,0,98106,20,0,0.000000
2025-04-12,0,88926,22,0,0.000000
2025-04-13,0,90299,22,0,0.000000
2025-04-14,0,102937,20,0,0.000000
2025-04-15,0,92721,20,0,0.000000
2025-04-16,0,102501,20,0,0.000000
2025-04-17,1,100638,20,1,0.009937
2025-04-18,0,83476,16,0,0.000000
2025-04-19,0,95013,21,0,0.000000
2025-04-20,0,90631,22,0,0.000000
2025-04-21,0,93890,19,0,0.000000
2025-04-22,0,86827,20,0,0.000000
2025-04-23,0,87202,20,0,0.000000
2025-04-24,0,95109,20,0,0.000000
2025-04-25,0,100865,20,0,0.000000
2025-04-26,0,91305,24,0,0.000000
2025-04-27,0,94820,20,0,0.000000
